name,tag,gen,format,category,item,ability,nature,move1,move2,move3,move4,hp_ev,atk_ev,def_ev,spa_ev,spd_ev,spe_ev,hp_iv,atk_iv,def_iv,spa_iv,spd_iv,spe_iv,teratypes
Raikou,regular,6,almostanyability,singles,Assault Vest|Choice Specs,Primordial Sea|Regenerator,Timid,Thunder/Thunderbolt,Volt Switch,Shadow Ball,Hidden Power Ice/Hidden Power Grass,4,0,0,252,0,252,31,31,31,31,31,31,
Raikou,regular,6,almostanyability,singles,Choice Specs,Magnet Pull,Rash,Thunderbolt,Volt Switch,Aura Sphere,Shadow Ball/Hidden Power Ice/Hidden Power Grass,4,0,0,252,0,252,31,31,31,31,31,31,
Entei,regular,6,uu,singles,Choice Band,,Adamant,Sacred Fire,Flare Blitz,Extreme Speed,Stone Edge,0,252,4,0,0,252,31,31,31,31,31,31,
Entei,regular,6,monotype,singles,Life Orb|Choice Band,,Adamant,Sacred Fire,Extreme Speed,Stone Edge,Iron Head,0,252,0,0,4,252,31,31,31,31,31,31,
Entei,regular,6,doublesou,doubles,Safety Goggles,,Adamant|Jolly,Sacred Fire,Stone Edge,Extreme Speed,Protect,4,252,0,0,0,252,31,31,31,31,31,31,
Entei,regular,6,battlespotsingles,singles,Assault Vest,,Adamant,Sacred Fire,Stone Edge,Bulldoze,Flame Charge,132,252,52,0,52,20,31,31,31,31,31,31,
Entei,regular,6,battlespotsingles,singles,Choice Band,,Adamant|Jolly,Sacred Fire,Stone Edge,Bulldoze,Iron Head,0,252,4,0,0,252,31,31,31,31,31,31,
Entei,regular,6,battlespotsingles,singles,Leftovers,,Jolly,Substitute,Protect,Toxic,Sacred Fire,20,228,4,0,4,252,31,31,31,31,31,31,
Entei,regular,6,battlespotdoubles,doubles,Leftovers,,Adamant,Sacred Fire,Stone Edge,Snarl/Iron Head,Protect,252,236,0,0,0,20,31,31,31,31,31,31,
Entei,regular,6,1v1,singles,Assault Vest,,Adamant,Sacred Fire,Extreme Speed,Stone Edge,Bulldoze,100,240,0,0,0,168,31,31,31,31,31,31,
Entei,regular,6,1v1,singles,Rocky Helmet,,Adamant,Sacred Fire,Stone Edge,Extreme Speed,Endure,120,128,248,0,0,12,31,31,31,31,31,31,
Entei,regular,6,1v1,singles,Leftovers,,Timid,Substitute,Calm Mind,Protect,Lava Plume,136,0,120,0,0,252,31,0,31,31,31,31,
Entei,regular,6,almostanyability,singles,Life Orb|Choice Band,Refrigerate,Adamant,Extreme Speed,Sacred Fire,Stone Edge,Will-O-Wisp/Iron Head/Bulldoze/Facade,0,252,4,0,0,252,31,31,31,31,31,31,
Entei,regular,6,almostanyability,singles,Choice Band|Life Orb,Tinted Lens,Adamant,Sacred Fire,Extreme Speed,Stone Edge/Iron Head,Facade/Iron Head/Flare Blitz,0,252,4,0,0,252,31,31,31,31,31,31,
Suicune,regular,6,vgc2016,doubles,Sitrus Berry|Lum Berry,,Bold,Tailwind,Scald,Icy Wind/Ice Beam,Roar/Snarl,252,0,156,0,100,0,31,31,31,31,31,31,
Suicune,regular,6,uu,singles,Leftovers,,Bold,Roar,Scald,Rest,Sleep Talk/Calm Mind,252,0,252,0,4,0,31,31,31,31,31,31,
Suicune,regular,6,uu,singles,Leftovers,,Bold,Calm Mind,Scald,Rest,Sleep Talk,252,0,252,0,4,0,31,31,31,31,31,31,
Suicune,regular,6,uu,singles,Leftovers,,Timid,Calm Mind,Hydro Pump/Scald,Ice Beam,Tailwind/Hidden Power Electric,0,0,0,252,4,252,31,31,31,31,31,31,
Suicune,regular,6,uu,singles,Leftovers,,Bold,Substitute,Calm Mind,Scald,Roar/Ice Beam,252,0,112,0,0,144,31,31,31,31,31,31,
Suicune,regular,6,ou,singles,Leftovers,,Timid,Calm Mind,Substitute,Protect,Scald,252,0,0,0,40,216,31,31,31,31,31,31,
Suicune,regular,6,ou,singles,Leftovers,,Bold,Calm Mind,Scald,Rest,Roar/Sleep Talk,252,0,252,0,4,0,31,31,31,31,31,31,
Suicune,regular,6,monotype,singles,Leftovers,,Timid,Substitute,Protect,Calm Mind,Scald,252,0,24,0,0,232,31,0,31,31,31,31,
Suicune,regular,6,doublesou,doubles,Sitrus Berry,,Bold,Tailwind,Hydro Pump/Scald,Ice Beam,Snarl/Protect,252,0,16,144,40,56,31,31,31,31,31,31,
Suicune,regular,6,battlespotsingles,singles,Chesto Berry,,Bold,Calm Mind,Scald,Ice Beam,Rest,252,0,252,0,0,4,31,31,31,31,31,31,
Suicune,regular,6,battlespotsingles,singles,Rocky Helmet,,Bold,Scald,Ice Beam/Icy Wind,Rest/Roar,Roar/Mirror Coat/Toxic/Reflect/Sleep Talk,252,0,252,0,4,0,31,31,31,31,31,31,
Suicune,regular,6,battlespotsingles,singles,Leftovers,,Timid,Scald,Substitute,Toxic/Calm Mind,Protect/Ice Beam,156,0,60,4,68,220,31,31,31,31,31,31,
Suicune,regular,6,battlespotdoubles,doubles,Sitrus Berry|Rocky Helmet,,Bold,Tailwind/Icy Wind,Scald,Ice Beam,Protect/Snarl,252,0,156,76,4,20,31,31,31,31,31,31,
Suicune,regular,6,battlespotdoubles,doubles,Sitrus Berry|Chesto Berry,,Modest,Scald/Hydro Pump,Ice Beam,Tailwind/Calm Mind,Protect/Rest,116,0,0,252,0,140,31,31,31,31,31,31,
Suicune,regular,6,almostanyability,singles,Toxic Orb,Poison Heal,Bold,Scald,Calm Mind,Protect,Roar/Ice Beam,252,0,252,0,4,0,31,31,31,31,31,31,
Suicune,regular,6,almostanyability,singles,Leftovers,Unaware,Bold,Scald,Calm Mind,Rest,Sleep Talk/Roar,252,0,252,0,4,0,31,31,31,31,31,31,
Swellow,regular,6,nu,singles,Choice Specs,Scrappy,Timid,Boomburst,Heat Wave,U-turn,Sleep Talk/Tailwind,0,0,4,252,0,252,31,31,31,31,31,31,
Swellow,regular,6,nu,singles,Toxic Orb,,Jolly,Facade,Brave Bird,U-turn,Quick Attack/Protect,0,252,4,0,0,252,31,31,31,31,31,31,
Wingull,weather,6,lc,singles,Life Orb,Rain Dish,Timid,Scald,Hurricane/Air Slash,Knock Off/Hidden Power Grass,U-turn,0,0,36,236,0,236,18,31,31,31,30,31,
Pelipper,regular,6,ru,singles,Leftovers,,Bold,Roost,Scald,Defog,U-turn/Hurricane,248,0,252,0,8,0,31,31,31,31,31,31,
Pelipper,regular,6,pu,singles,Leftovers,,Bold,Scald,Defog,Roost,U-turn,248,0,252,0,8,0,31,31,31,31,31,31,
Pelipper,regular,6,nu,singles,Leftovers,,Bold,Defog,Roost,Scald,Hurricane/U-turn,248,0,252,0,8,0,31,31,31,31,31,31,
Masquerain,regular,6,pu,singles,Focus Sash,,Timid,Quiver Dance,Bug Buzz,Air Slash,Ice Beam/Hydro Pump,4,0,0,252,0,252,31,31,31,31,31,31,
Masquerain,regular,6,zu,singles,Focus Sash,,Timid,Quiver Dance,Bug Buzz,Air Slash/Hydro Pump,Ice Beam/Hydro Pump,0,0,4,252,0,252,31,31,31,31,31,31,
Delcatty,regular,6,pu,singles,Leftovers,Wonder Skin,Timid,Substitute,Calm Mind,Hyper Voice,Shadow Ball,252,0,0,4,0,252,31,31,31,31,31,31,
Volbeat,regular,6,pu,singles,Heat Rock|Damp Rock,Prankster,Relaxed,Sunny Day/Rain Dance,U-turn,Encore,Thunder Wave,252,4,252,0,0,0,31,31,31,31,31,0,
Volbeat,regular,6,zu,singles,Damp Rock|Heat Rock,Prankster,Relaxed,U-turn,Rain Dance/Sunny Day,Encore,Roost/Thunder Wave,248,0,252,0,8,0,31,31,31,31,31,0,
Illumise,regular,6,pu,singles,Choice Specs,Tinted Lens,Modest,Bug Buzz,Thunderbolt,Giga Drain,U-turn/Tailwind,0,0,0,252,4,252,31,31,31,31,31,31,
Illumise,regular,6,zu,singles,Choice Specs,Tinted Lens,Timid,Bug Buzz,U-turn,Dazzling Gleam,Hidden Power Ground/Shadow Ball/Thunderbolt,0,0,0,252,4,252,31,31,31,31,31,31,
Torkoal,regular,6,pu,singles,Life Orb|White Herb,Shell Armor,Timid,Shell Smash,Fire Blast,Earth Power,Rapid Spin,0,0,0,252,4,252,31,31,31,31,31,31,
Torkoal,regular,6,pu,singles,Leftovers,Shell Armor,Bold|Relaxed,Stealth Rock,Lava Plume,Toxic/Earthquake,Rapid Spin,248,0,232,0,28,0,31,31,31,31,31,31,
Torkoal,regular,6,monotype,singles,Leftovers,Shell Armor,Bold,Stealth Rock,Rapid Spin,Yawn,Lava Plume,252,0,252,0,4,0,31,31,31,31,31,31,
Lunatone,regular,6,pu,singles,Life Orb,,Modest,Rock Polish,Psychic,Ancient Power,Earth Power/Shadow Ball,0,0,4,252,0,252,31,31,31,31,31,31,
Lunatone,regular,6,zu,singles,Colbur Berry|Life Orb,,Timid,Psychic,Earth Power,Ice Beam/Moonblast,Stealth Rock/Rock Polish,0,0,4,252,0,252,31,31,31,31,31,31,
Solrock,regular,6,pu,singles,Leftovers,,Impish,Stealth Rock,Morning Sun,Will-O-Wisp,Rock Slide,252,4,252,0,0,0,31,31,31,31,31,31,
Solrock,regular,6,pu,singles,Light Clay,,Jolly,Light Screen,Reflect,Stealth Rock,Explosion,252,0,4,0,0,252,31,31,31,31,31,31,
Solrock,regular,6,zu,singles,Leftovers,,Impish,Stealth Rock,Rock Slide,Will-O-Wisp,Morning Sun,252,0,172,0,0,84,31,31,31,31,31,31,
Solrock,regular,6,zu,singles,Heat Rock|Damp Rock,,Jolly,Stealth Rock,Sunny Day/Rain Dance,Magic Coat,Explosion,0,252,4,0,0,252,31,31,31,31,31,31,
Solrock,regular,6,nu,singles,Leftovers,,Careful,Stealth Rock,Morning Sun,Will-O-Wisp,Stone Edge,248,8,0,0,252,0,31,31,31,31,31,31,
Castform,weather,6,pu,singles,Damp Rock|Heat Rock|Icy Rock,,Modest,Rain Dance,Sunny Day,Hail,Weather Ball,0,0,0,252,4,252,31,31,31,31,31,31,
Chimecho,regular,6,pu,singles,Leftovers,,Calm,Healing Wish,Recover,Psychic,Heal Bell/Thunder Wave/Taunt,252,0,0,4,252,0,31,31,31,31,31,31,
Chimecho,regular,6,zu,singles,Colbur Berry,,Modest,Psychic,Dazzling Gleam,Knock Off,Healing Wish,76,0,0,252,0,180,31,0,31,31,31,31,
Chimecho,regular,6,zu,singles,Mental Herb,,Bold,Trick Room,Healing Wish,Psychic,Knock Off,252,0,252,0,4,0,31,0,31,31,31,31,
Wormadam,regular,6,pu,singles,Choice Specs,,Modest,Signal Beam,Leaf Storm,Giga Drain,Hidden Power Rock,248,0,0,252,8,0,31,31,31,31,31,31,
Wormadam-Sandy,regular,6,pu,singles,Leftovers,,Adamant,Stealth Rock,Earthquake,Rock Blast,Sucker Punch,252,252,4,0,0,0,31,31,31,31,31,31,
Wormadam-Trash,regular,6,pu,singles,Leftovers,Overcoat,Impish,Stealth Rock,Toxic,Protect,Iron Head,252,0,252,0,4,0,31,31,31,31,31,31,
Wormadam-Trash,regular,6,zu,singles,Leftovers,Overcoat,Impish,Stealth Rock,Toxic,Protect,Iron Head,252,0,252,0,4,0,31,31,31,31,31,31,
Cherrim,regular,6,pu,singles,Life Orb,,Modest,Healing Wish,Energy Ball,Hidden Power Fire/Hidden Power Rock,Dazzling Gleam/Nature Power/Synthesis,0,0,0,252,4,252,31,31,31,31,31,31,
Arceus,regular,6,ubers,singles,Life Orb,,Jolly,Swords Dance,Extreme Speed,Shadow Claw/Stone Edge,Earthquake,4,252,0,0,0,252,31,31,31,31,31,31,
Arceus,regular,6,ubers,singles,Life Orb|Silk Scarf,,Adamant,Swords Dance,Extreme Speed,Shadow Claw,Recover/Earthquake,132,252,0,0,0,124,31,31,31,31,31,31,
Arceus,regular,6,purehackmons,singles,Shed Shell,Wonder Guard,Bold,Stealth Rock/Gastro Acid,Defog,Aromatherapy/King's Shield,Recover/Wish,248,0,244,0,0,16,31,31,31,31,31,31,
Arceus,regular,6,purehackmons,singles,Spooky Plate|Dread Plate,Mold Breaker,Modest,Shell Smash,Boomburst,Judgment,Dark Void/Spore/Taunt/King's Shield,40,0,0,252,0,216,31,0,31,31,31,31,
Arceus,regular,6,balancedhackmons,singles,Toxic Orb,Poison Heal,Jolly,Facade,Icicle Crash/Knock Off/Thousand Arrows,Spore/Leech Seed/King's Shield,Shift Gear/Roost,44,248,0,0,0,216,31,31,31,31,31,31,
Arceus,regular,6,balancedhackmons,singles,Spooky Plate|Earth Plate,Magic Bounce,Timid,Boomburst,Judgment,Quiver Dance,King's Shield/Secret Sword/Leech Seed,140,0,0,244,0,124,31,31,31,31,31,31,
Arceus,regular,6,anythinggoes,singles,Lum Berry|Life Orb,,Jolly,Swords Dance,Extreme Speed,Earthquake,Stone Edge/Shadow Claw/Magic Coat,0,252,4,0,0,252,31,31,31,31,31,31,
Arceus,regular,6,anythinggoes,singles,Leftovers|Rocky Helmet,,Bold,Stealth Rock/Defog,Recover,Will-O-Wisp/Toxic,Roar,248,0,244,0,0,16,31,31,31,31,31,31,
Arceus-Bug,regular,6,ubers,singles,Insect Plate,,Jolly,Swords Dance,X-Scissor,Earthquake,Stone Edge,0,252,4,0,0,252,31,31,31,31,31,31,
Arceus-Dark,regular,6,ubers,singles,Dread Plate,,Timid,Calm Mind,Judgment,Recover,Refresh,252,0,80,0,0,176,31,31,31,31,31,31,
Arceus-Dark,regular,6,ubers,singles,Dread Plate,,Timid,Perish Song,Whirlpool,Judgment,Recover,248,0,84,0,0,176,31,31,31,31,31,31,
Arceus-Dragon,regular,6,ubers,singles,Draco Plate,,Bold,Judgment,Toxic/Will-O-Wisp,Recover,Defog,252,0,200,0,0,56,31,31,31,31,31,31,
Arceus-Dragon,regular,6,ubers,singles,Draco Plate,,Jolly,Swords Dance,Outrage,Earthquake,Iron Tail/Extreme Speed,0,252,4,0,0,252,31,31,31,31,31,31,
Arceus-Electric,regular,6,ubers,singles,Zap Plate,,Timid,Judgment,Recover,Will-O-Wisp,Toxic,248,0,84,0,0,176,31,31,31,31,31,31,
Arceus-Fairy,regular,6,ubers,singles,Pixie Plate,,Timid,Recover,Stone Edge,Earth Power/Toxic,Judgment,252,0,4,0,0,252,31,31,31,31,31,31,
Arceus-Fairy,regular,6,ubers,singles,Pixie Plate,,Bold|Timid,Stealth Rock,Recover,Judgment,Toxic/Earth Power,252,0,200,0,0,56,31,31,31,31,31,31,
Arceus-Fairy,regular,6,anythinggoes,singles,Pixie Plate,,Bold,Judgment,Recover,Toxic/Will-O-Wisp/Roar,Defog/Stealth Rock/Roar,252,0,240,0,0,16,31,31,31,31,31,31,
Arceus-Fairy,regular,6,anythinggoes,singles,Pixie Plate,,Timid,Judgment,Calm Mind,Recover,Earth Power,72,0,184,0,0,252,31,31,31,31,31,31,
Arceus-Fighting,regular,6,ubers,singles,Fist Plate,,Timid,Judgment,Recover,Stone Edge,Ice Beam/Thunder Wave,160,0,0,252,0,96,31,31,31,31,31,31,
Arceus-Fire,regular,6,ubers,singles,Flame Plate,,Timid|Modest,Calm Mind,Judgment,Thunder,Ice Beam/Earth Power,0,0,4,252,0,252,31,31,31,31,31,31,
Arceus-Flying,regular,6,ubers,singles,Sky Plate,,Modest,Calm Mind,Judgment,Recover,Refresh/Earth Power,132,0,0,200,0,176,31,31,31,31,31,31,
Arceus-Ghost,regular,6,ubers,singles,Spooky Plate,,Jolly,Swords Dance,Shadow Force,Brick Break,Extreme Speed/Shadow Claw,0,252,4,0,0,252,31,31,31,31,31,31,
Arceus-Ghost,regular,6,ubers,singles,Spooky Plate,,Timid,Calm Mind,Judgment,Focus Blast,Substitute/Recover,0,0,4,252,0,252,31,31,31,31,31,31,
Arceus-Grass,regular,6,ubers,singles,Meadow Plate,,Timid,Grass Knot,Stone Edge,Ice Beam/Fire Blast,Recover,0,0,4,252,0,252,31,31,31,31,31,31,
Arceus-Ground,regular,6,ubers,singles,Earth Plate,,Jolly,Swords Dance,Earthquake,Stone Edge,Recover,0,252,4,0,0,252,31,31,31,31,31,31,
Arceus-Ground,regular,6,ubers,singles,Earth Plate,,Bold,Judgment,Ice Beam,Recover,Toxic,252,0,88,0,0,168,31,31,31,31,31,31,
Arceus-Ground,regular,6,anythinggoes,singles,Earth Plate,,Jolly|Adamant,Swords Dance,Earthquake,Stone Edge,Extreme Speed,0,252,4,0,0,252,31,31,31,31,31,31,
Arceus-Ground,regular,6,anythinggoes,singles,Earth Plate,,Timid,Calm Mind,Judgment,Ice Beam,Recover,72,0,0,180,4,252,31,31,31,31,31,31,
Arceus-Ground,regular,6,anythinggoes,singles,Earth Plate,,Bold,Judgment,Recover,Ice Beam/Defog,Will-O-Wisp/Stealth Rock,252,0,240,0,0,16,31,31,31,31,31,31,
Arceus-Ice,regular,6,ubers,singles,Icicle Plate,,Timid,Calm Mind,Judgment,Recover,Thunder/Fire Blast,248,0,0,8,0,252,31,31,31,31,31,31,
Arceus-Poison,regular,6,ubers,singles,Toxic Plate,,Adamant,Swords Dance,Poison Jab,Earthquake,Recover/Extreme Speed,80,252,0,0,0,176,31,31,31,31,31,31,
Arceus-Psychic,regular,6,ubers,singles,Mind Plate,,Bold,Fire Blast/Payback,Ice Beam,Toxic,Recover,252,0,200,0,0,56,31,31,31,31,31,31,
Arceus-Rock,regular,6,ubers,singles,Stone Plate,,Timid,Defog,Will-O-Wisp,Recover,Judgment,252,0,0,4,0,252,31,31,31,31,31,31,
Arceus-Rock,regular,6,ubers,singles,Stone Plate,,Timid,Calm Mind,Will-O-Wisp,Recover,Judgment,252,0,0,4,0,252,31,31,31,31,31,31,
Arceus-Steel,regular,6,ubers,singles,Iron Plate,,Timid,Calm Mind,Judgment,Recover,Earth Power/Thunder,252,0,80,0,0,176,31,31,31,31,31,31,
Arceus-Steel,regular,6,ubers,singles,Iron Plate,,Jolly,Swords Dance,Iron Head,Earthquake,Stone Edge/Extreme Speed/Recover,0,252,4,0,0,252,31,31,31,31,31,31,
Arceus-Water,regular,6,ubers,singles,Splash Plate,,Bold,Judgment/Defog,Ice Beam/Judgment,Recover,Toxic,252,0,240,0,0,16,31,31,31,31,31,31,
Arceus-Water,regular,6,anythinggoes,singles,Splash Plate,,Bold,Toxic,Recover,Defog,Judgment/Ice Beam,252,0,240,0,0,16,31,31,31,31,31,31,
Gigalith,regular,6,pu,singles,Leftovers,,Adamant,Stealth Rock,Stone Edge/Rock Blast,Superpower,Toxic,252,252,4,0,0,0,31,31,31,31,31,31,
Gigalith,regular,6,zu,singles,Leftovers|Rocky Helmet|Custap Berry,,Adamant,Stealth Rock,Stone Edge/Rock Blast,Earthquake,Superpower/Toxic,248,252,8,0,0,0,31,31,31,31,31,31,
Gigalith,regular,6,zu,singles,Choice Band,,Adamant,Stone Edge,Earthquake,Superpower,Heavy Slam/Toxic,0,252,4,0,0,252,31,31,31,31,31,31,
Woobat,regular,6,lc,singles,Eviolite,Simple,Timid,Calm Mind,Stored Power,Heat Wave,Roost,76,0,12,236,0,180,31,31,31,31,31,31,
Crustle,regular,6,pu,singles,Custap Berry,,Jolly,Stealth Rock,Spikes,Stone Edge,Knock Off,0,252,0,0,4,252,31,31,31,31,31,31,
Crustle,regular,6,pu,singles,White Herb,,Adamant,Shell Smash,Stone Edge,Earthquake,X-Scissor,0,252,0,0,4,252,31,31,31,31,31,31,
Crustle,regular,6,nu,singles,Custap Berry,,Naughty,Stealth Rock,Spikes,Shell Smash/Knock Off,Rock Blast,0,252,4,0,0,252,0,31,0,31,0,31,
Crustle,regular,6,1v1,singles,Custap Berry,,Hasty|Lonely,Shell Smash,Rock Wrecker,Counter,Endure,0,252,0,0,4,252,0,31,0,31,0,31,
Vanillite,regular,6,lc,singles,Eviolite,,Mild|Modest,Autotomize,Ice Beam,Hidden Power Ground,Ice Shard/Taunt,0,0,0,240,0,244,31,31,31,31,31,31,
Vanilluxe,regular,6,pu,singles,Life Orb,Weak Armor,Modest,Autotomize,Ice Beam,Freeze-Dry,Hidden Power Ground,0,0,4,252,0,252,31,31,31,31,31,31,
Vanilluxe,regular,6,zu,singles,Choice Specs,Weak Armor,Timid,Ice Beam,Freeze-Dry,Hidden Power Ground,Flash Cannon/Frost Breath,0,0,0,252,4,252,31,31,31,31,31,31,
Vanilluxe,regular,6,zu,singles,Choice Scarf,Weak Armor,Timid,Ice Beam,Freeze-Dry,Hidden Power Ground,Flash Cannon,0,0,0,252,4,252,31,31,31,31,31,31,
Vanilluxe,regular,6,zu,singles,Life Orb,Weak Armor,Timid,Autotomize,Ice Beam,Freeze-Dry,Hidden Power Ground,0,0,0,252,4,252,31,31,31,31,31,31,
Vanilluxe,regular,6,nu,singles,Life Orb,,Rash|Naive,Freeze-Dry,Ice Beam,Explosion,Ice Shard/Flash Cannon,0,4,0,252,0,252,31,31,31,31,31,31,
Deerling,regular,6,lc,singles,Life Orb,Sap Sipper,Jolly,Return,Seed Bomb,Jump Kick/Baton Pass,Substitute/Wild Charge/Baton Pass,36,196,36,0,0,236,31,31,31,31,31,31,
Deerling,regular,6,lc,singles,Berry Juice,Sap Sipper,Jolly,Return/Seed Bomb,Baton Pass,Substitute/Return,Thunder Wave,36,36,0,0,196,236,31,31,31,31,31,31,
Cubchoo,regular,6,lc,singles,Eviolite|Life Orb,Rattled,Adamant,Ice Punch,Play Rough,Superpower,Rock Tomb/Encore,0,196,196,0,116,0,31,31,31,31,31,31,
Beartic,weather,6,pu,singles,Life Orb,Swift Swim,Adamant,Icicle Crash,Superpower,Aqua Jet,Swords Dance,0,252,4,0,0,252,31,31,31,31,31,31,
Beartic,weather,6,zu,singles,Life Orb,Swift Swim,Adamant,Swords Dance,Icicle Crash,Superpower,Aqua Jet/Night Slash,0,252,4,0,0,252,31,31,31,31,31,31,
Cryogonal,regular,6,pu,singles,Leftovers,,Timid,Freeze-Dry,Rapid Spin,Recover,Hidden Power Fighting,0,0,4,252,0,252,31,31,31,31,31,31,
Cryogonal,regular,6,nu,singles,Never-Melt Ice,,Timid,Rapid Spin,Ice Beam/Frost Breath,Freeze-Dry,Recover,0,0,4,252,0,252,31,31,31,31,31,31,
Greninja,regular,6,vgc2014,doubles,Life Orb|Focus Sash,Protean,Timid,Hydro Pump,Ice Beam,Rock Slide/Dark Pulse,Protect,4,0,0,252,0,252,31,31,31,31,31,31,
Greninja,regular,6,ubers,singles,Focus Sash,Protean,Jolly,Toxic Spikes,Spikes,Taunt,Shadow Sneak,0,252,4,0,0,252,31,31,31,31,31,31,
Greninja,regular,6,battlespotsingles,singles,Life Orb,Protean,Naive|Timid,Ice Beam,Dark Pulse,Gunk Shot,Low Kick/Grass Knot/Water Shuriken/Hydro Pump,0,20,0,236,0,252,31,31,31,31,31,31,
Greninja,regular,6,battlespotsingles,singles,Focus Sash,Protean,Timid|Naive,Ice Beam,Dark Pulse,Hydro Pump,Grass Knot/Extrasensory/Hidden Power Fire/Gunk Shot,4,0,0,252,0,252,31,31,31,31,31,31,
Greninja,regular,6,battlespotdoubles,doubles,Life Orb,Protean,Naive,Ice Beam,Dark Pulse/Gunk Shot,Low Kick,Protect,0,4,0,252,0,252,31,31,31,31,31,31,
Greninja,regular,6,1v1,singles,Choice Specs,Protean,Timid,Hydro Cannon,Dark Pulse,Ice Beam/Grass Knot/Blizzard/Extrasensory/Surf,Hidden Power Electric/Hidden Power Flying/Hidden Power Rock,0,0,0,252,4,252,31,31,31,31,31,31,
Greninja,regular,6,1v1,singles,Choice Specs,Protean,Modest,Hydro Cannon,Dark Pulse,Ice Beam/Grass Knot/Blizzard/Extrasensory/Hyper Beam/Surf,Hidden Power Electric/Hidden Power Steel/Hidden Power Flying/Hidden Power Rock,0,0,0,252,4,252,31,31,31,31,31,31,
Greninja,regular,6,1v1,singles,Petaya Berry,,Timid,Substitute,Haze,Hydro Cannon,Toxic/Taunt/Dark Pulse/Surf,92,0,88,164,0,164,31,0,31,31,31,31,
Greninja,regular,6,1v1,singles,Choice Band,Protean,Jolly,Rock Tomb,Gunk Shot,Waterfall,Ice Punch,88,76,248,0,0,96,31,31,31,31,31,31,
Vivillon,regular,6,ru,singles,Focus Sash,Compound Eyes,Timid,Quiver Dance,Hurricane,Energy Ball,Sleep Powder,0,0,0,252,4,252,31,31,31,31,31,31,
Vivillon,regular,6,nu,singles,Focus Sash,Compound Eyes,Timid,Quiver Dance,Hurricane,Sleep Powder,Energy Ball,0,0,0,252,4,252,31,31,31,31,31,31,
Vivillon,regular,6,nu,singles,Leftovers,Compound Eyes,Timid,Substitute,Sleep Powder,Quiver Dance,Hurricane,16,0,0,240,0,252,31,31,31,31,31,31,
Vivillon,regular,6,monotype,singles,Focus Sash,Compound Eyes,Timid,Quiver Dance,Hurricane,Sleep Powder,Endeavor,0,0,0,252,4,252,31,0,31,31,31,31,
Meowstic,regular,6,zu,singles,Light Clay,Prankster,Bold,Reflect,Light Screen,Psychic,Thunder Wave,252,0,252,0,4,0,31,0,31,31,31,31,
Meowstic,regular,6,ru,singles,Light Clay,Prankster,Timid,Reflect,Light Screen,Thunder Wave,Psyshock,248,0,236,0,0,24,31,31,31,31,31,31,
Meowstic,regular,6,pu,singles,Light Clay,Prankster,Bold,Reflect,Light Screen,Yawn/Thunder Wave,Thunder Wave/Psychic,252,0,252,0,4,0,31,31,31,31,31,31,
Meowstic,regular,6,vgc2014,doubles,Sitrus Berry|Mental Herb,Prankster,Bold,Safeguard,Swagger,Thunder Wave/Reflect/Charm,Psychic/Fake Out/Light Screen,252,0,196,0,60,0,31,31,31,31,31,31,
Zygarde,regular,6,ou,singles,Leftovers,,Careful,Substitute,Coil,Earthquake,Dragon Tail,200,0,0,0,252,56,31,31,31,31,31,31,
Zygarde,regular,6,ou,singles,Life Orb|Lum Berry,,Adamant,Dragon Dance,Earthquake,Outrage,Stone Edge/Extreme Speed,4,252,0,0,0,252,31,31,31,31,31,31,
Zygarde,regular,6,ou,singles,Chesto Berry,,Adamant,Dragon Dance,Rest,Earthquake,Outrage/Stone Edge,120,252,0,0,0,136,31,31,31,31,31,31,
Zygarde,regular,6,ou,singles,Leftovers,,Impish,Glare,Earthquake,Dragon Tail,Substitute,200,0,252,0,0,56,31,31,31,31,31,31,
Zygarde,regular,6,monotype,singles,Leftovers,,Careful,Coil,Dragon Tail,Rest/Substitute,Glare/Earthquake,200,0,0,0,252,56,31,31,31,31,31,31,
Necturna,regular,6,cap,singles,Colbur Berry,,Impish,Sticky Web,Will-O-Wisp,Shadow Sneak,Power Whip/Horn Leech/Super Fang,252,0,252,0,0,4,31,31,31,31,31,31,
Necturna,regular,6,cap,singles,Choice Band|Life Orb,,Adamant,Power Whip/Horn Leech/Leaf Blade,Shadow Sneak,Shadow Claw,V-create/Dragon Ascent/Sacred Fire,140,252,0,0,0,116,31,31,31,31,31,31,
Necturna,regular,6,cap,singles,White Herb|Focus Sash|Life Orb|Colbur Berry,,Jolly,Shell Smash/Shift Gear,Shadow Sneak,Shadow Claw,Horn Leech/Power Whip/Leaf Blade,88,252,0,0,0,168,31,31,31,31,31,31,
Necturna,regular,6,cap,singles,Leftovers,,Careful,Spore,Will-O-Wisp,Horn Leech,Super Fang/Shadow Claw,252,0,4,0,252,0,31,31,31,31,31,31,
Malaconda,regular,6,cap,singles,Sitrus Berry,,Careful,Knock Off/Sucker Punch,Power Whip,Glare/Rapid Spin/Toxic,U-turn,252,4,0,0,252,0,31,31,31,31,31,31,
Malaconda,regular,6,cap,singles,Lum Berry,,Careful,Rest,Knock Off/Power Whip,Glare/Rapid Spin/Toxic,U-turn,252,4,0,0,252,0,31,31,31,31,31,31,
Naviathan,regular,6,cap,singles,Leftovers,Heatproof|Water Veil,Bold,Calm Mind,Slack Off,Scald,Taunt/Hidden Power Ground,252,0,252,4,0,0,31,31,31,31,31,31,
