genKey,eid,eventName,trainer,city,stab_avg,hasStab_pct,coverage_avg,avgBP,maxBP,status_pct,priority_pct,natOpt_pct,natBad_pct,abilOpt_pct,abilHidden_pct,item_pct,intent_natOpt,intent_abilOpt,intent_moveOpt,intent_itemTier
gen1to3,39,Rival,Hop,6,1.35,0.92,2.33,93.73,113.59,0.72,0.1,0.69,0.07,0.36,0.14,0.5,1,1,1,2
gen1to3,41,Basic Trainer,Triathlete Biker,6,1.43,0.95,2.28,93.78,111.8,0.75,0.1,0.68,0.06,0.41,0.17,0.82,1,1,1,2
gen1to3,42,Elite Trainer,Veteran Wallace,6,1.48,0.95,2.32,95.76,117.56,0.72,0.13,0.7,0.08,0.37,0.14,0.55,1,1,1,2
gen1to3,44,Gym Trainer 1,Depot Agent,7,1.44,0.94,2.33,93.91,113.78,0.75,0.12,0.72,0.06,0.42,0.18,0.83,1,1,1,2
gen1to3,45,Gym Trainer 2,Reactor Tech,7,1.36,0.93,2.28,92.8,114.02,0.76,0.13,0.71,0.05,0.44,0.15,0.55,1,1,1,2
gen1to3,46,Gym Leader 7,Byron,7,1.4,0.92,2.3,92.22,112.27,0.73,0.1,0.73,0.03,0.42,0.16,0.55,1,1,1,2
gen1to3,48,Elite Trainer,Hollow Cyrus,7,1.42,0.93,2.27,93.88,114.35,0.74,0.13,0.72,0.07,0.4,0.15,0.51,1,1,1,2
gen1to3,49,Elite Trainer,Veteran Koga,7,1.44,0.96,2.32,95.2,113.55,0.74,0.09,0.71,0.05,0.4,0.14,0.56,1,1,1,2
gen1to3,51,Gym Trainer 1,Hiker,8,1.4,0.94,2.35,93.24,113.24,0.7,0.11,0.73,0.06,0.41,0.16,0.84,1,1,1,3
gen1to3,52,Gym Trainer 2,Rocker,8,1.37,0.93,2.31,93.51,111.65,0.72,0.11,0.7,0.05,0.39,0.12,0.82,1,1,1,3
gen1to3,53,Gym Leader 8,Grant,8,1.37,0.92,2.26,93.2,113.05,0.77,0.1,0.71,0.06,0.39,0.11,0.85,1,1,1,3
gen1to3,56,Elite Trainer,Eldritch N,8,1.44,0.94,2.29,97.13,118.34,0.73,0.14,0.7,0.09,0.39,0.15,0.77,1,1,1,3
gen1to3,57,Elite Trainer,Mars,8,1.42,0.94,2.26,96.83,117.06,0.75,0.11,0.69,0.07,0.4,0.14,0.8,1,1,1,3
gen1to3,58,Elite Trainer,Silent Red,8,1.42,0.93,2.22,95.94,117.98,0.76,0.14,0.69,0.08,0.42,0.13,0.78,1,1,1,3
gen1to3,60,E1,Lorelei,9,1.47,0.98,2.07,87.71,103.98,0.89,0.04,0.63,0.13,0.51,0.14,0.9,1,1,1,3
gen1to3,61,E2,Bruno,9,1.52,0.95,2.65,104.94,131.5,0.66,0.19,0.83,0.01,0.61,0.08,0.9,1,1,1,3
gen1to3,62,E3,Flint,9,1.34,0.95,2.23,95.31,115.73,0.76,0.12,0.67,0.08,0.3,0.09,0.85,1,1,1,3
gen1to3,63,E4,Lance,9,1.21,0.94,2.4,99.25,114.27,0.77,0.24,0.8,0.02,0.34,0.22,0.94,1,1,1,3
gen1to3,64,Champion,Prof. Kukui,9,1.31,0.91,2.28,94.06,113.62,0.78,0.07,0.7,0.05,0.36,0.09,0.85,1,1,1,3
gen1to3,65,Rival,Hop,9,1.39,0.93,2.34,95.17,115.4,0.74,0.11,0.73,0.06,0.36,0.12,0.77,1,1,1,3
gen1to3,67,Mystery Figure,Ash Kalos,9,1.3,0.9,2.32,92.83,111.43,0.74,0.1,0.72,0.05,0.31,0.11,0.81,1,1,1,3
