genKey,eid,eventName,trainer,city,badges,partyCap,intendedMult,enemyMonAvg,enemyMonP10,enemyMonP90,playerMonAvg,ratioPerMon_mean,ratioPerMon_med,ratioPerMon_p10,ratioPerMon_p90,ratioPerMon_sd,teamRatio_mean,offRatio,bulkRatio,speRatio,enemyAvgGrade,playerAvgGrade,delta_vs_intended,flag
gen1to6,63,E4,Lance,9,8,6,1.2,897.9,890.33,911.17,763.06,1.177,1.173,1.167,1.194,0.012,1.177,1.099,1.136,1.545,2.12,1.85,-0.023,ok
gen1to6,64,Champion,Prof. Kukui,9,8,6,1.23,952.82,921.83,993.83,763.06,1.249,1.245,1.208,1.302,0.034,1.249,1.124,1.294,1.378,1.88,1.85,0.019,ok
gen1to6,65,Rival,Hop,9,8,6,1.26,964.07,932.83,1005.67,723.89,1.332,1.32,1.289,1.389,0.045,1.332,1.215,1.332,1.535,1.96,2.05,0.072,ok
gen1to6,67,Mystery Figure,Ilima,9,8,6,1.3,968.92,847.33,1065,763.06,1.27,1.278,1.11,1.396,0.108,1.27,1.102,1.297,1.508,2.06,1.85,-0.03,ok
gen1to3,68,Rival,Hop,0,0,2,0.75,286.94,239,319,447.38,0.641,0.666,0.534,0.713,0.066,0.321,0.661,0.632,0.666,4,3.9,-0.109,SOFT
gen1to3,1,Basic Trainer,Beauty,0,0,2,0.8,295.53,261,316.17,447.38,0.661,0.672,0.583,0.707,0.045,0.646,0.658,0.674,0.634,4,3.9,-0.139,SOFT
gen1to3,4,Gym Trainer 1,Channeler,1,0,2,0.85,346.98,315.83,367.17,454.31,0.764,0.777,0.695,0.808,0.044,0.762,0.812,0.755,0.795,4,3.85,-0.086,SOFT
gen1to3,5,Gym Leader 1,Ryme,1,0,2,0.85,349.18,324,369,454.31,0.769,0.774,0.713,0.812,0.037,0.764,0.811,0.755,0.805,4,3.85,-0.081,SOFT
gen1to3,7,Basic Trainer,Bug Maniac,1,1,3,0.85,327.09,297,348.5,454.31,0.72,0.734,0.654,0.767,0.044,0.72,0.749,0.711,0.749,4,3.85,-0.13,SOFT
gen1to3,8,Basic Trainer,Firebreather,1,1,3,0.85,326.62,302.5,349.17,454.31,0.719,0.728,0.666,0.769,0.041,0.722,0.754,0.712,0.735,4,3.85,-0.131,SOFT
gen1to3,10,Gym Trainer 1,Hex Maniac,2,1,3,0.9,451.13,412.5,492.5,480.94,0.938,0.941,0.858,1.024,0.067,0.918,1.015,0.911,1.011,3.46,3.65,0.038,ok
gen1to3,11,Gym Leader 2,Morty,2,1,3,0.9,477.42,444.33,509.83,480.94,0.993,0.999,0.924,1.06,0.05,1.007,1.066,0.965,1.078,3.27,3.65,0.093,HARD
gen1to3,14,Basic Trainer,Medium,2,2,4,0.9,451.41,413.17,482.33,480.94,0.939,0.944,0.859,1.003,0.06,0.947,0.973,0.935,0.946,3.29,3.65,0.039,ok
gen1to3,15,Basic Trainer,Firebreather,2,2,4,0.9,451.04,415.67,484.5,480.94,0.938,0.942,0.864,1.007,0.063,0.964,0.988,0.932,0.924,3.31,3.65,0.038,ok
gen1to3,17,Gym Trainer 1,Battle Girl,3,2,4,0.95,498.59,452.5,540.33,562.76,0.886,0.888,0.804,0.96,0.061,0.877,0.83,0.895,0.924,3.43,3.2,-0.064,ok
gen1to3,18,Gym Leader 3,Chuck,3,2,4,0.95,522.41,490,558,562.76,0.928,0.93,0.871,0.992,0.047,0.945,0.85,0.942,0.984,3.29,3.2,-0.022,ok
gen1to3,12,Rival,Hop,3,3,5,0.95,489.53,448,531.67,562.76,0.87,0.874,0.796,0.945,0.058,0.873,0.786,0.879,0.928,3.5,3.2,-0.08,SOFT
gen1to3,20,Basic Trainer,Veteran,3,3,5,0.95,498.32,464.5,539.17,562.76,0.885,0.887,0.825,0.958,0.055,0.897,0.82,0.903,0.894,3.33,3.2,-0.065,ok
gen1to3,21,Basic Trainer,Veteran F,3,3,5,0.95,492.65,449.33,535.33,562.76,0.875,0.882,0.798,0.951,0.062,0.885,0.819,0.878,0.925,3.33,3.2,-0.075,ok
gen1to3,23,Gym Trainer 1,Team Aqua Grunt Beta,4,3,5,1,553.26,497.5,599.17,595.48,0.929,0.926,0.835,1.006,0.065,0.926,0.859,0.939,1.023,3.42,2.95,-0.071,ok
gen1to3,24,Gym Leader 4,Crasher Wake,4,3,5,1,591.05,549.83,622.83,595.48,0.993,0.994,0.923,1.046,0.047,1.001,0.909,0.998,1.117,3.18,2.95,-0.007,ok
gen1to3,26,Basic Trainer,Triathlete Biker,4,4,6,1,549.9,512,591.83,595.48,0.923,0.929,0.86,0.994,0.063,0.923,0.857,0.933,0.975,3.31,2.95,-0.077,ok
gen1to3,27,Basic Trainer,Medium JPN,4,4,6,1,553.67,516.83,585,595.48,0.93,0.935,0.868,0.982,0.051,0.93,0.853,0.945,0.988,3.29,2.95,-0.07,ok
gen1to3,29,Gym Trainer 1,Psychic,5,4,6,1.03,601.38,556.33,647,623.06,0.965,0.966,0.893,1.038,0.059,0.965,0.907,0.971,1.09,3.4,2.7,-0.065,ok
gen1to3,30,Gym Trainer 2,Mystic,5,4,6,1.03,600.82,548.17,646,623.06,0.964,0.97,0.88,1.037,0.065,0.964,0.916,0.964,1.099,3.36,2.7,-0.066,ok
gen1to3,31,Gym Leader 5,Sabrina,5,4,6,1.03,677.81,638,710,623.06,1.088,1.107,1.024,1.14,0.055,1.088,1.009,1.1,1.202,2.76,2.7,0.058,ok
gen1to3,33,Basic Trainer,Beauty,5,5,6,1.03,592.63,556.33,637,623.06,0.951,0.955,0.893,1.022,0.053,0.951,0.893,0.952,1.072,3.31,2.7,-0.079,ok
gen1to3,34,Elite Trainer,Penny,5,5,6,1.03,684.46,650.83,719.67,623.06,1.099,1.1,1.045,1.155,0.039,1.099,1.007,1.111,1.214,2.75,2.7,0.069,ok
gen1to3,36,Gym Trainer 1,Young Athlete F,6,5,6,1.05,768.34,750.17,794.67,708.08,1.085,1.084,1.059,1.122,0.034,1.085,0.972,1.092,1.28,2.21,2.2,0.035,ok
gen1to3,37,Gym Trainer 2,Li,6,5,6,1.05,768.58,744.83,793.83,708.08,1.085,1.087,1.052,1.121,0.035,1.085,0.964,1.101,1.268,2.2,2.2,0.035,ok
gen1to3,38,Gym Leader 6,Larry,6,5,6,1.05,770.19,747,792.17,708.08,1.088,1.09,1.055,1.119,0.028,1.088,0.967,1.108,1.261,2.22,2.2,0.038,ok
gen1to3,39,Rival,Hop,6,6,6,1.05,786.41,743.33,816.17,708.08,1.111,1.116,1.05,1.153,0.037,1.111,0.981,1.131,1.258,1.95,2.2,0.061,ok
gen1to3,41,Basic Trainer,Triathlete Biker,6,6,6,1.05,749,729.67,770.67,708.08,1.058,1.063,1.03,1.088,0.033,1.058,0.919,1.079,1.225,2.13,2.2,0.008,ok
gen1to3,42,Elite Trainer,Veteran Wallace,6,6,6,1.05,776.32,747.33,806.67,708.08,1.096,1.1,1.055,1.139,0.038,1.096,0.966,1.105,1.278,2.1,2.2,0.046,ok
gen1to3,44,Gym Trainer 1,Depot Agent,7,6,6,1.08,787.28,753.17,818,723.23,1.089,1.092,1.041,1.131,0.038,1.089,0.961,1.11,1.297,2.23,2.05,0.009,ok
gen1to3,45,Gym Trainer 2,Reactor Tech,7,6,6,1.08,786.98,754.17,815.5,723.23,1.088,1.099,1.043,1.128,0.04,1.088,0.964,1.11,1.277,2.23,2.05,0.008,ok
gen1to3,46,Gym Leader 7,Byron,7,6,6,1.08,791.74,768.83,816,723.23,1.095,1.098,1.063,1.128,0.027,1.095,0.963,1.128,1.272,2.22,2.05,0.015,ok
gen1to3,48,Elite Trainer,Hollow Cyrus,7,7,6,1.08,798.11,772.5,823.83,723.23,1.104,1.1,1.068,1.139,0.031,1.104,0.967,1.109,1.328,2.15,2.05,0.024,ok
gen1to3,49,Elite Trainer,Veteran Koga,7,7,6,1.08,799.78,784.33,821.5,723.23,1.106,1.106,1.084,1.136,0.023,1.106,0.98,1.153,1.213,2.12,2.05,0.026,ok
gen1to3,51,Gym Trainer 1,Hiker,8,7,6,1.1,803.29,763,830.67,723.23,1.111,1.118,1.055,1.149,0.04,1.111,0.989,1.127,1.33,2.22,2.05,0.011,ok
gen1to3,52,Gym Trainer 2,Rocker,8,7,6,1.1,800.29,772.83,826.67,723.23,1.107,1.118,1.069,1.143,0.042,1.107,0.989,1.121,1.315,2.26,2.05,0.007,ok
gen1to3,53,Gym Leader 8,Grant,8,7,6,1.1,807.49,781.67,834.33,723.23,1.117,1.119,1.081,1.154,0.033,1.117,0.979,1.148,1.3,2.22,2.05,0.017,ok
gen1to3,56,Elite Trainer,Eldritch N,8,8,6,1.1,808.17,784.17,835.5,723.23,1.117,1.117,1.084,1.155,0.029,1.117,0.958,1.126,1.35,2.16,2.05,0.017,ok
gen1to3,57,Elite Trainer,Mars,8,8,6,1.1,812.87,789.67,838.67,723.23,1.124,1.124,1.092,1.16,0.027,1.124,0.989,1.141,1.313,2.18,2.05,0.024,ok
gen1to3,58,Elite Trainer,Silent Red,8,8,6,1.1,800.71,764.67,832,723.23,1.107,1.11,1.057,1.15,0.032,1.107,0.953,1.121,1.327,2.18,2.05,0.007,ok
gen1to3,60,E1,Lorelei,9,8,6,1.14,858.86,854.67,867.67,762.46,1.126,1.123,1.121,1.138,0.009,1.126,0.895,1.226,1.222,2.13,1.85,-0.014,ok
gen1to3,61,E2,Bruno,9,8,6,1.16,827.44,825.5,828.17,762.46,1.085,1.085,1.083,1.086,0.005,1.085,1.042,1.127,1.331,2.49,1.85,-0.075,ok
gen1to3,62,E3,Flint,9,8,6,1.18,882.57,859.5,930.83,762.46,1.158,1.161,1.127,1.221,0.049,1.158,0.959,1.209,1.385,2.03,1.85,-0.022,ok
gen1to3,63,E4,Lance,9,8,6,1.2,899.48,890.33,912,762.46,1.18,1.175,1.168,1.196,0.016,1.18,1.066,1.153,1.568,2.11,1.85,-0.02,ok
gen1to3,64,Champion,Prof. Kukui,9,8,6,1.23,936.61,874.5,994.67,762.46,1.228,1.232,1.147,1.305,0.062,1.228,1.04,1.291,1.425,1.95,1.85,-0.002,ok
gen1to3,65,Rival,Hop,9,8,6,1.26,948.9,921.67,978.17,723.23,1.312,1.32,1.274,1.353,0.039,1.312,1.176,1.324,1.53,1.95,2.05,0.052,ok
gen1to3,67,Mystery Figure,Ash Kalos,9,8,6,1.3,974.96,880.5,1064,762.46,1.279,1.293,1.155,1.395,0.097,1.279,1.074,1.313,1.573,2.03,1.85,-0.021,ok
